UIK.RAW	UIK	VOTERS	BALL.RECEIVED	BALL.ISS.PRELIMINARY	BALL.ISS.UIK.DAYOFVOTE	BALL.ISS.EXTRA	BALL.CANCELLED	BALL.PORTABLE_BOXES	BALL.STATIONARY_BOXES	BALL.INVALID	BALL.VALID	BALL.LOST	BALL.NOT.RECORDED	TIK	BABURIN	BABURIN.pct	GRUDININ	GRUDININ.pct	ZHIRINOVSKI	ZHIRINOVSKI.pct	PUTIN	PUTIN.pct	SOBCHAK	SOBCHAK.pct	SURAIKIN	SURAIKIN.pct	TITOV	TITOV.pct	YAVLINSKI	YAVLINSKI.pct
УИК №2181	2181	3003	2500	0	2243	21	236	21	2236	37	2220	0	0	16	16	0.71%	187	8.29%	112	4.96%	1715	75.99%	112	4.96%	7	0.31%	26	1.15%	45	1.99%
УИК №2182	2182	1871	1750	0	1130	25	595	25	1129	20	1134	0	0	16	2	0.17%	151	13.08%	34	2.95%	742	64.30%	96	8.32%	11	0.95%	30	2.60%	68	5.89%
УИК №2183	2183	2006	1750	0	1196	26	528	26	1195	19	1202	0	0	16	8	0.66%	141	11.55%	35	2.87%	832	68.14%	89	7.29%	6	0.49%	23	1.88%	68	5.57%
УИК №2184	2184	2279	2000	0	1111	30	859	30	1106	22	1114	0	0	16	9	0.79%	106	9.33%	36	3.17%	807	71.04%	70	6.16%	6	0.53%	19	1.67%	61	5.37%
УИК №2185	2185	1587	1250	0	806	75	369	75	805	16	864	0	0	16	8	0.91%	72	8.18%	30	3.41%	618	70.23%	63	7.16%	10	1.14%	23	2.61%	40	4.55%
УИК №2186	2186	2253	1750	0	1192	30	528	30	1190	15	1205	0	0	16	9	0.74%	109	8.93%	40	3.28%	843	69.10%	99	8.11%	8	0.66%	31	2.54%	66	5.41%
УИК №2187	2187	1667	1500	0	1059	14	427	14	1057	23	1048	2	2	16	11	1.03%	90	8.40%	38	3.55%	725	67.69%	100	9.34%	6	0.56%	22	2.05%	56	5.23%
УИК №2188	2188	1458	1250	0	810	6	434	6	804	11	799	0	0	16	17	2.10%	61	7.53%	31	3.83%	549	67.78%	63	7.78%	6	0.74%	21	2.59%	51	6.30%
УИК №2189	2189	1472	1250	0	872	32	346	32	872	13	891	0	0	16	8	0.88%	89	9.85%	27	2.99%	606	67.04%	82	9.07%	11	1.22%	16	1.77%	52	5.75%
УИК №2190	2190	1673	1500	0	912	12	576	12	909	20	901	0	0	16	6	0.65%	80	8.69%	31	3.37%	641	69.60%	53	5.75%	13	1.41%	17	1.85%	60	6.51%
УИК №2191	2191	1314	1000	0	697	13	290	13	697	10	700	0	0	16	7	0.99%	63	8.87%	26	3.66%	481	67.75%	59	8.31%	4	0.56%	18	2.54%	42	5.92%
УИК №2192	2192	1857	1500	0	940	16	544	16	939	17	938	0	0	16	12	1.26%	74	7.75%	31	3.25%	647	67.75%	88	9.21%	8	0.84%	19	1.99%	59	6.18%
УИК №2193	2193	1933	1500	0	1122	26	352	26	1119	19	1126	0	0	16	18	1.57%	104	9.08%	40	3.49%	805	70.31%	75	6.55%	10	0.87%	27	2.36%	47	4.10%
УИК №2194	2194	2486	2000	0	1184	22	794	22	1182	16	1188	0	0	16	13	1.08%	115	9.55%	40	3.32%	826	68.60%	95	7.89%	7	0.58%	24	1.99%	68	5.65%
УИК №2195	2195	1263	1000	0	703	14	283	14	702	8	708	0	0	16	11	1.54%	64	8.94%	23	3.21%	489	68.30%	52	7.26%	10	1.40%	17	2.37%	42	5.87%
УИК №2196	2196	1719	1500	0	999	28	473	28	995	13	1010	0	0	16	13	1.27%	80	7.82%	25	2.44%	739	72.24%	78	7.62%	7	0.68%	17	1.66%	51	4.99%
УИК №2197	2197	1378	1250	0	753	21	476	21	753	11	763	0	0	16	13	1.68%	73	9.43%	38	4.91%	520	67.18%	46	5.94%	7	0.90%	16	2.07%	50	6.46%
УИК №2198	2198	1452	1250	0	851	9	390	9	850	20	839	0	0	16	3	0.35%	63	7.33%	27	3.14%	601	69.97%	58	6.75%	9	1.05%	20	2.33%	58	6.75%
УИК №2199	2199	1939	1500	0	1134	23	343	23	1129	17	1135	0	0	16	8	0.69%	113	9.81%	43	3.73%	801	69.53%	80	6.94%	13	1.13%	18	1.56%	59	5.12%
УИК №2200	2200	1401	1000	0	706	75	219	75	706	14	767	0	0	16	5	0.64%	66	8.45%	31	3.97%	553	70.81%	49	6.27%	4	0.51%	13	1.66%	46	5.89%
УИК №2201	2201	1935	1500	0	1185	89	226	89	1184	21	1252	0	0	16	11	0.86%	130	10.21%	53	4.16%	900	70.70%	89	6.99%	5	0.39%	25	1.96%	39	3.06%
УИК №2202	2202	1927	1500	0	1070	23	407	23	1070	19	1074	0	0	16	10	0.91%	101	9.24%	44	4.03%	736	67.34%	81	7.41%	9	0.82%	37	3.39%	56	5.12%
УИК №2203	2203	1684	1500	0	924	5	571	5	924	14	915	0	0	16	12	1.29%	108	11.63%	31	3.34%	637	68.57%	71	7.64%	4	0.43%	20	2.15%	32	3.44%
УИК №2204	2204	1754	1500	0	1258	17	225	17	1256	18	1255	0	0	16	5	0.39%	133	10.45%	53	4.16%	882	69.29%	105	8.25%	6	0.47%	21	1.65%	50	3.93%
УИК №2205	2205	2206	1750	0	1092	55	603	55	1088	21	1122	0	0	16	14	1.22%	126	11.02%	49	4.29%	788	68.94%	66	5.77%	3	0.26%	15	1.31%	61	5.34%
УИК №2206	2206	1530	1250	0	812	17	421	17	809	15	811	0	0	16	9	1.09%	83	10.05%	29	3.51%	567	68.64%	61	7.38%	9	1.09%	8	0.97%	45	5.45%
УИК №2207	2207	1251	1000	0	668	12	320	12	668	7	673	0	0	16	8	1.18%	45	6.62%	20	2.94%	487	71.62%	47	6.91%	6	0.88%	15	2.21%	45	6.62%
УИК №2208	2208	1802	1500	0	928	25	547	25	928	15	938	0	0	16	16	1.68%	100	10.49%	28	2.94%	615	64.53%	89	9.34%	10	1.05%	20	2.10%	60	6.30%
УИК №2209	2209	2157	2000	0	1098	35	867	35	1098	20	1113	0	0	16	13	1.15%	134	11.83%	34	3.00%	732	64.61%	101	8.91%	11	0.97%	18	1.59%	70	6.18%
УИК №2210	2210	2112	1500	0	1134	19	347	19	1132	15	1136	0	0	16	8	0.70%	88	7.65%	50	4.34%	800	69.50%	103	8.95%	8	0.70%	16	1.39%	63	5.47%
УИК №2211	2211	1622	1500	0	828	30	642	30	826	12	844	0	0	16	6	0.70%	69	8.06%	36	4.21%	593	69.28%	65	7.59%	4	0.47%	19	2.22%	52	6.07%
УИК №2212	2212	1363	1000	0	642	7	351	7	640	10	637	0	0	16	13	2.01%	49	7.57%	19	2.94%	464	71.72%	42	6.49%	4	0.62%	18	2.78%	28	4.33%
УИК №2213	2213	1694	1250	0	830	13	407	13	829	54	788	0	0	16	8	0.95%	71	8.43%	39	4.63%	557	66.15%	51	6.06%	7	0.83%	16	1.90%	39	4.63%
УИК №2214	2214	2036	1750	0	1136	19	595	19	1110	13	1116	0	0	16	10	0.89%	92	8.15%	60	5.31%	785	69.53%	65	5.76%	12	1.06%	28	2.48%	64	5.67%
УИК №2215	2215	2457	2000	0	1370	16	614	16	1366	29	1353	0	0	16	14	1.01%	128	9.26%	61	4.41%	920	66.57%	116	8.39%	5	0.36%	39	2.82%	70	5.07%
УИК №2216	2216	1578	1250	0	882	26	342	26	882	11	897	0	0	16	7	0.77%	104	11.45%	30	3.30%	596	65.64%	83	9.14%	11	1.21%	17	1.87%	49	5.40%
УИК №2217	2217	1765	1500	0	876	18	606	18	874	18	874	0	0	16	3	0.34%	89	9.98%	36	4.04%	637	71.41%	52	5.83%	4	0.45%	12	1.35%	41	4.60%
УИК №2218	2218	1873	1500	0	1049	20	431	20	1049	25	1044	0	0	16	14	1.31%	103	9.64%	29	2.71%	730	68.29%	94	8.79%	4	0.37%	19	1.78%	51	4.77%
УИК №2219	2219	2123	1750	0	1025	18	707	18	1022	13	1027	0	0	16	13	1.25%	92	8.85%	46	4.42%	740	71.15%	64	6.15%	6	0.58%	20	1.92%	46	4.42%
УИК №2220	2220	2087	1750	0	1047	36	667	36	1047	10	1073	0	0	16	10	0.92%	101	9.33%	52	4.80%	769	71.01%	74	6.83%	6	0.55%	22	2.03%	39	3.60%
УИК №2221	2221	2219	1750	0	1197	25	528	25	1196	24	1197	1	1	16	10	0.82%	119	9.75%	48	3.93%	852	69.78%	80	6.55%	6	0.49%	27	2.21%	55	4.50%
УИК №2222	2222	1736	1500	0	763	22	715	22	761	11	772	0	0	16	10	1.28%	79	10.09%	30	3.83%	560	71.52%	42	5.36%	3	0.38%	22	2.81%	26	3.32%
УИК №2223	2223	2112	1750	0	1102	28	620	28	1102	9	1121	0	0	16	12	1.06%	105	9.29%	48	4.25%	817	72.30%	64	5.66%	11	0.97%	22	1.95%	42	3.72%
УИК №2224	2224	1545	1250	0	827	13	410	13	823	5	831	0	0	16	12	1.44%	79	9.45%	30	3.59%	600	71.77%	54	6.46%	4	0.48%	15	1.79%	37	4.43%
УИК №2225	2225	2308	2000	0	1247	24	729	24	1242	26	1240	0	0	16	13	1.03%	118	9.32%	60	4.74%	874	69.04%	80	6.32%	6	0.47%	25	1.97%	64	5.06%
